-1.94557,0.412213,2.05415
-1.94165,0.423842,2.05271
-1.94105,0.436212,2.05486
-1.93766,0.447955,2.05415
-1.93216,0.459183,2.05128
-1.92795,0.470695,2.04984
-1.92638,0.482859,2.05128
-1.92473,0.495021,2.05271
-1.92031,0.506462,2.05128
-1.91716,0.518236,2.05128
-1.91462,0.530177,2.05199
-1.91267,0.542299,2.05343
-1.9073,0.553437,2.05128
-1.90187,0.564528,2.04913
-1.90103,0.577005,2.05199
-1.89812,0.588867,2.05271
-1.89514,0.600715,2.05343
-1.89075,0.612116,2.05271
-1.8863,0.623485,2.05199
-1.88178,0.634822,2.05128
-1.87521,0.645442,2.04841
-1.87385,0.657867,2.05128
-1.86912,0.669115,2.05056
-1.86629,0.681053,2.05199
-1.86664,0.694206,2.05701
-1.86104,0.705148,2.05558
-1.85473,0.715796,2.05343
-1.85031,0.727163,2.05343
-1.84516,0.738241,2.05271
-1.84124,0.749814,2.05343
-1.83789,0.761635,2.05486
-1.83511,0.773716,2.05701
-1.83097,0.785238,2.05773
-1.82675,0.796738,2.05845
-1.81547,0.805088,2.05128
-1.80669,0.814482,2.04698
-1.80292,0.826137,2.04841
-1.79277,0.834815,2.04267
-1.78635,0.845199,2.04124
-1.77486,0.853106,2.03407
-1.76709,0.86275,2.0312
-1.77548,0.880429,2.04698
-2.2052,1.11203,2.5489
-2.20949,1.13128,2.5618
-2.20497,1.14611,2.56467
-2.19544,1.15831,2.5618
-2.18277,1.16879,2.55535
-2.17555,1.18216,2.55535
-2.1518,1.18636,2.53599
-1.74472,0.974689,2.06418
-2.13647,1.21233,2.53527
-2.12658,1.22402,2.53241
-1.69578,1.03097,2.04984
-1.69179,1.04283,2.05271
-1.68123,1.05059,2.04769
-1.67475,1.06088,2.04769
-1.66587,1.06963,2.04482
-1.66102,1.08097,2.04698
-1.65552,1.09192,2.04841
-1.64937,1.10244,2.04913
-1.64027,1.11097,2.04626
-1.63399,1.12141,2.04698
-1.62879,1.13262,2.04913
-1.6184,1.14017,2.04482
